TransectID,Longitude,Latitude,LRR_m_yr,EPR_m_yr,NSM_m,NDVI_2019,NDVI_2024,BSI_2024,NDVI_decline,score_lrr,score_ndvi,score_bsi,Risk_Score,Risk_Level
1.0,84.87457,19.239284,0.0,,,0.4944256026434551,0.5053740683901762,-0.3139494879854824,-0.010948465746721092,0.49888527931715393,0.038675401040323014,0.06008653189994858,0.27306256635066356,Low
2.0,84.87477,19.238474,-6.024,,,0.35938530500872806,0.031366057673215,-0.06348984466686623,0.3280192473355131,0.8826039875151284,0.847341187167961,0.6250039673551322,0.820505143378979,Critical
3.0,84.873837,19.237108,-4.719,0.0,0.0,0.5060696331653421,0.27186085515848013,-0.16408830897654436,0.23420877800686202,0.7994776737371807,0.623540176042597,0.3981018376724731,0.6664212572158641,High
4.0,84.873192,19.235475,-4.199,-17.273,-190.0,0.5414372995107499,0.3487384055500529,-0.20445776245199324,0.192698893960697,0.7663545448754697,0.5245112074454742,0.3070476150204565,0.6019401576754684,High
8.0,84.874571,19.23916,7.711,,,0.5431502784762233,0.16593362199061154,-0.14678206808530286,0.37721665648561176,0.007707497292821171,0.9647100692483492,0.4371364585483509,0.3806940611305855,Moderate
9.0,84.892016,19.258184,0.315,-0.909,-10.0,0.41336231185432804,0.4062814558707658,-0.2626367839517537,0.007080855983562229,0.4788203070259252,0.08168744929056627,0.17582350566912858,0.29908108943395817,Low
10.0,84.891928,19.257641,0.351,-0.213,-2.343,0.4522606156903195,0.43926727744797944,-0.2857086319464286,0.012993338242340058,0.47652716733549905,0.09579269273775073,0.12378442652781134,0.291758276794637,Low
13.0,84.903791,19.252177,-0.025,0.048,0.533,0.4938816286512117,0.5166469663468255,-0.3294928087537612,-0.022765337695613785,0.5004777374355055,0.01048422036051984,0.025028217552262595,0.25838977833636123,Low
14.0,84.902665,19.25099,0.0,0.0,0.0,0.4604033361897673,0.44161463744300705,-0.26776029704063303,0.018788698746760257,0.49888527931715393,0.10961852209354861,0.16426730509190113,0.31518165730502173,Low
15.0,84.901539,19.249802,-3.497,-3.03,-33.333,0.4805045573792368,0.2977040776857787,-0.17826255767856414,0.18280047969345808,0.7216383209121601,0.500896837563314,0.3661314965821813,0.5843145110415104,High
16.0,84.900413,19.248615,-0.42,0.0,0.0,0.30875913102535935,0.29046568177205695,-0.13117885294707404,0.018293449253302396,0.525638575705459,0.10843701923796763,0.47232986601292415,0.3898163668267046,Moderate
17.0,84.899287,19.247428,-0.734,0.0,0.0,0.37461236772229484,0.3198564872650663,-0.16749464159393998,0.05475588045722851,0.5456398496719536,0.19542442085664183,0.39041877679675935,0.4095310064523212,Moderate
18.0,84.89816,19.246241,7.832,7.576,83.333,0.3146281229705187,-0.07435672646018053,0.024993568651104168,0.3889848494306992,0.0,0.9927851177911943,0.8245803233284601,0.4627516000030503,Moderate
19.0,84.897034,19.245054,-2.413,0.0,0.0,0.5142652356467997,0.3948336637387295,-0.16652583401496654,0.11943157190807019,0.6525893369004395,0.34971940781829125,0.3926039443778973,0.5097312796712866,Moderate
23.0,84.892626,19.240216,1.049,0.0,0.0,0.3932135069687019,0.3267752806655506,-0.2404890870885955,0.06643822630315127,0.4320657366711255,0.2232946663776841,0.22577814086461911,0.3281768964217918,Low
