BSI,MNDWI,NDVI,NDWI,Sensor,Year,NDVI_change_pct,BSI_change
0.0395780818306417,-0.0376017604384384,0.1479758516051799,0.002353996541763,Landsat8_C2,2013,,
-0.0439390459898046,-0.0359356650612486,0.2233660308614092,-0.0587768227803427,Landsat8_C2,2014,50.94762316852939,-0.0835171278204463
0.4652087820072881,-0.0413180095110539,0.2070339043320124,-0.1216720356885875,Landsat8_C2,2015,-7.31182197508371,0.5091478279970927
-0.0517774210907939,-0.0484782350032961,0.2144679696007965,-0.1304107756684335,Landsat8_C2,2016,3.5907477534995236,-0.516986203098082
-0.099289651419215,-0.0276716374711497,0.2124768829882412,-0.1644361612054382,Sentinel2,2017,-0.9283841387883962,-0.047512230328421105
-0.0963442636802745,-0.0103836936502937,0.1809285656439588,-0.1319028776587842,Sentinel2,2018,-14.84788222633534,0.0029453877389404998
-0.1215166691499169,0.024826955424944,0.1913057721699566,-0.1284019712155092,Sentinel2,2019,5.735526885466302,-0.025172405469642403
-0.1048586435456576,-0.0052863053149942,0.1899347654309141,-0.1375063020972707,Sentinel2,2020,-0.7166572777660307,0.016658025604259302
-0.1329233253678131,0.0270996443338815,0.203083253032159,-0.1342566564422909,Sentinel2,2021,6.922633448075866,-0.02806468182215549
-0.0952714350083392,-0.0022401244362644,0.1790447727831275,-0.1351510330696337,Sentinel2,2022,-11.836761471033219,0.03765189035947389
-0.1221574536786435,-0.0289844203171397,0.2293883403557405,-0.174923804265644,Sentinel2,2023,28.117865040155564,-0.026886018670304296
-0.1150092719874792,0.0104998747770022,0.1833263602317512,-0.1315278623198676,Sentinel2,2024,-20.08034935540113,0.007148181691164296
