system:index,BSI,MNDWI,NDVI,NDWI,Year,.geo
0,-0.07679314133354452,-0.1554837809638932,0.3063912601089812,-0.26293934748275377,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-0.054437158989905844,-0.16360395345861153,0.2799474470617233,-0.26023546541331655,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.09587032909609251,-0.13349179307722261,0.2964584853277461,-0.24684174087523206,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-0.04295316939933597,-0.1761226450758717,0.2701007332974218,-0.25415223714231544,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-0.04716699916532916,-0.20647057116545717,0.31237382444297057,-0.2872641104930777,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-0.07750159001122718,-0.13825087520905302,0.2836085259467325,-0.25116799400788553,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
