system:index,BSI,MNDWI,NDVI,NDWI,Sensor,Year,.geo
1_0,-0.01741521273988649,0.030939449755147404,0.18355836757082925,-0.17797541689533147,Landsat8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,-0.011577578215942833,-0.007528135532348397,0.19989065798648845,-0.1906288361670829,Landsat8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.013969761125798513,-0.10901332136731584,0.22981311429312,-0.2290567709109748,Landsat8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,-0.009817921403346157,0.006813766381781035,0.18262900084528677,-0.18448989753143058,Landsat8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,-0.06243211545025483,0.09626339074772895,0.16031822353434305,-0.1354451449814061,Sentinel2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,-0.03195455768622015,0.03304554807031467,0.15658516130546926,-0.14119669262061987,Sentinel2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,-0.07659005149457165,0.09587105415287347,0.16231276556529114,-0.12414024063512309,Sentinel2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,-0.08442246929349442,0.1424857600573607,0.1426305464573004,-0.10522732094774358,Sentinel2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,-0.10847768789858196,0.14484696475942668,0.16109667799526,-0.11911252638844796,Sentinel2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,-0.057003347873490665,0.08637178994215443,0.14282180219684867,-0.11682870059420193,Sentinel2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,-0.006799520426500997,-0.10516191378394846,0.21930780251886303,-0.2163113444027931,Sentinel2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,-0.10256783151718783,0.14573228443019287,0.1478118225406317,-0.11103723613342721,Sentinel2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
