TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value
485,0.0,0.0,0.0,0.1313,0.0,0.247
486,6.644,28.3608,6.644,0.0946,283.6077,0.3307
487,-0.595,0.0,-0.595,0.0019,170.1667,0.8928
488,-3.7561,0.0,-3.7561,0.0111,447.5964,0.7449
489,16.311,288.4513,16.311,0.265,298.3978,0.0868
490,16.9244,18.9078,16.9244,0.1685,311.9782,0.185
491,2.0825,0.0,2.0825,0.0087,170.1714,0.7726
492,0.5912,9.9466,0.5912,0.0391,29.8399,0.5378
493,0.3478,119.3595,0.3478,0.0002,368.0251,0.9684
494,1.0247,28.3622,1.0247,0.0007,368.708,0.9339
495,1.7389,19.8933,1.7389,0.0016,328.2389,0.9004
496,27.8575,417.7589,27.8575,0.2375,417.7589,0.1081
497,15.0939,49.7332,15.0939,0.1332,507.2787,0.2435
498,-0.4297,0.0,-0.4297,0.0019,122.904,0.8928
499,10.4457,56.7243,10.4457,0.129,321.438,0.2515
500,32.2396,169.0929,32.2396,0.2201,775.8382,0.1239
501,34.3448,529.4185,34.3448,0.2772,529.4185,0.0787
502,24.7274,596.7975,24.7274,0.1836,596.7975,0.1646
503,1.0578,9.4538,1.0578,0.6713,9.4538,0.0011
504,60.5492,805.6771,60.5492,0.3807,805.6771,0.0326
505,18.4445,794.1076,18.4445,0.0331,822.4687,0.5715
506,10.7465,198.9328,10.7465,0.0571,437.652,0.4544
507,17.6327,19.8933,17.6327,0.1182,596.7986,0.2738
508,3.3055,56.7228,3.3055,0.0039,425.4206,0.8466
509,-1.6694,29.84,-1.6694,0.0005,954.8784,0.9466
510,41.8038,447.5996,41.8038,0.772,447.5996,0.0002
511,16.3438,179.04,16.3438,0.3368,318.2933,0.1013
512,-7.7037,28.3618,-7.7037,0.0463,311.9799,0.5252
513,5.4255,0.0,5.4255,0.0936,218.8266,0.3336
514,21.1453,576.9052,21.1453,0.211,576.9052,0.133
515,-9.4904,0.0,-9.4904,0.1268,255.281,0.2824
516,5.808,9.9467,5.808,0.0108,387.9176,0.7482
517,-11.1291,447.5971,-11.1291,0.0273,596.7962,0.6078
518,2.2152,141.8416,2.2152,0.0132,226.9468,0.7223
519,0.0,0.0,0.0,,0.0,
520,-5.5546,0.0,-5.5546,0.0168,397.1564,0.6882
521,24.4492,188.9859,24.4492,0.4952,427.7048,0.0107
522,-11.9017,0.0,-11.9017,0.056,482.2183,0.459
523,2.0829,0.0,2.0829,0.1545,66.1886,0.2063
524,11.5812,0.0,11.5812,0.1545,368.0251,0.2063
525,43.5754,340.4036,43.5754,0.3152,851.0102,0.0575
526,6.5731,0.0,6.5731,0.1545,208.8793,0.2063
527,8.0341,0.0,8.0341,0.1545,255.3056,0.2063
528,1.7853,0.0,1.7853,0.1545,56.7341,0.2063
529,0.0,0.0,0.0,,0.0,
530,11.9021,0.0,11.9021,0.1545,378.2223,0.2063
531,11.902,0.0,11.902,0.1545,378.2195,0.2063
532,11.9019,0.0,11.9019,0.1545,378.2166,0.2063
533,0.0,0.0,0.0,,0.0,
534,0.0,0.0,0.0,,0.0,
535,0.0,0.0,0.0,,0.0,
536,0.0,0.0,0.0,,0.0,
537,0.0,0.0,0.0,,0.0,
538,29.6313,417.7593,29.6313,0.2972,417.7593,0.0668
539,15.7693,0.0,15.7693,0.1545,501.1141,0.2063
540,0.0,0.0,0.0,,0.0,
541,6.2483,0.0,6.2483,0.025,397.1141,0.6234
542,-5.9471,0.0,-5.9471,0.0423,358.0786,0.5213
543,14.12,0.0,14.12,0.0279,944.9273,0.6035
544,1.9476,0.0,1.9476,0.0004,895.1937,0.9507
545,10.1205,0.0,10.1205,0.0566,477.4364,0.4566
546,0.2773,113.4622,0.2773,0.0003,141.8279,0.9604
547,4.6139,85.0974,4.6139,0.013,340.3894,0.7385
548,-0.0,0.0,-0.0,0.0003,0.0,0.9609
549,10.5134,0.0,10.5134,0.1492,340.3947,0.2149
550,15.1742,0.0,15.1742,0.1545,482.2015,0.2063
551,15.077,358.0777,15.077,0.2358,358.0777,0.13
552,3.7357,28.3646,3.7357,0.1089,151.2778,0.2947
553,36.4808,427.7028,36.4808,0.3401,447.5959,0.0597
554,16.8717,19.8931,16.8717,0.0786,656.4737,0.4037
555,-3.7244,39.7863,-3.7244,0.0076,387.9162,0.7983
556,-1.4733,79.5725,-1.4733,0.0022,358.0763,0.8909
557,-5.4386,217.4693,-5.4386,0.0153,652.4096,0.7169
558,24.4696,510.5776,24.4696,0.1885,510.5776,0.1822
559,3.9647,0.0,3.9647,0.0015,954.8717,0.9057
560,24.3775,397.1203,24.3775,0.1366,538.9492,0.2633
561,-16.9912,0.0,-16.9912,0.0382,775.3377,0.5646
562,16.2289,0.0,16.2289,0.091,562.5999,0.3406
563,-7.5121,0.0,-7.5121,0.0104,925.0339,0.7528
564,0.0,0.0,0.0,0.1545,0.0004,0.2063
565,9.8187,0.0,9.8187,0.1545,312.0178,0.2063
566,6.5731,0.0,6.5731,0.1545,208.8794,0.2063
567,2.8171,0.0,2.8171,0.1545,89.5198,0.2063
568,35.2306,278.5062,35.2306,0.7116,507.2791,0.0006
569,0.0,0.0,0.0,,0.0,
570,10.0162,0.0,10.0162,0.1545,318.2928,0.2063
571,-2.504,0.0,-2.504,0.0099,268.5593,0.7581
572,5.0081,0.0,5.0081,0.1545,159.146,0.2063
573,10.9552,0.0,10.9552,0.1545,348.1321,0.2063
574,21.1104,447.5971,21.1104,0.0925,537.1166,0.3364
575,4.4864,0.0,4.4864,0.0316,288.4511,0.5805
576,1.4259,0.0,1.4259,0.0013,387.9168,0.9125
577,30.2585,358.0767,30.2585,0.5417,358.0767,0.0098
578,19.1091,453.842,19.1091,0.2358,453.842,0.13
579,-1.0769,0.0,-1.0769,0.0108,119.3589,0.7608
580,19.5802,268.5582,19.5802,0.0952,626.6359,0.3292
581,-42.9052,0.0,-42.9052,0.3171,567.2213,0.0566
582,47.7854,805.6741,47.7854,0.2574,835.5138,0.0923
583,52.0979,686.3147,52.0979,0.4543,686.3147,0.0162
584,32.0294,434.8594,32.0294,0.4179,434.8594,0.0231
585,15.6676,217.4293,15.6676,0.4361,236.3362,0.0194
586,-10.4335,129.3058,-10.4335,0.1649,208.8786,0.1902
587,39.0703,283.6069,39.0703,0.4112,699.5646,0.0246
588,0.1043,19.8932,0.1043,0.0,328.2382,0.9902
589,13.1462,0.0,13.1462,0.052,447.5976,0.4761
590,18.1891,557.0099,18.1891,0.0616,557.0099,0.4367
591,23.4829,726.0991,23.4829,0.0516,736.0456,0.5016
592,65.0041,656.473,65.0041,0.4994,656.473,0.0151
593,-3.3983,141.8304,-3.3983,0.0111,340.3935,0.7578
594,2.1538,169.0912,2.1538,0.0163,208.8774,0.7083
595,27.5587,507.274,27.5587,0.2842,507.274,0.0913
596,17.4925,358.076,17.4925,0.1963,358.076,0.1723
597,43.1034,510.5867,43.1034,0.5427,510.5867,0.0097
598,18.6477,784.7957,18.6477,0.0282,879.3491,0.6215
599,16.2286,29.8397,16.2286,0.3568,208.8779,0.0523
600,-17.2008,0.0,-17.2008,0.1453,338.1836,0.2475
601,9.1498,0.0,9.1498,0.0381,312.0319,0.5651
602,1.0994,0.0,1.0994,0.0332,69.6259,0.592
603,6.1993,122.9197,6.1993,0.0306,472.7689,0.6069
604,16.8269,159.1447,16.8269,0.2243,328.2362,0.1412
605,57.158,652.411,57.158,0.7235,765.874,0.0009
606,-0.8104,37.8208,-0.8104,0.0003,406.5726,0.9587
607,22.8915,274.2005,22.8915,0.2598,538.9463,0.1093
608,0.0,0.0,0.0,,0.0,
609,0.0,0.0,0.0,,0.0,
610,8.338,328.2332,8.338,0.0359,417.7514,0.5768
611,20.3561,487.3765,20.3561,0.1525,487.3765,0.235
612,0.0,0.0,0.0,,0.0,
613,0.0,0.0,0.0,,0.0,
614,18.3627,477.4293,18.3627,0.2308,477.4293,0.1139
615,18.3627,477.4296,18.3627,0.2308,477.4296,0.1139
616,27.006,415.9994,27.006,0.2532,491.6358,0.1146
617,3.3574,340.3616,3.3574,0.0079,415.9975,0.7953
618,21.1895,160.7222,21.1895,0.0927,671.2526,0.3361
619,50.5321,467.4823,50.5321,0.5927,656.4646,0.0034
620,9.077,89.518,9.077,0.0194,537.1078,0.6659
621,21.3188,358.0717,21.3188,0.0818,755.9292,0.3676
622,25.0237,567.2471,25.0237,0.1948,567.2471,0.1509
623,23.3011,0.0,23.3011,0.1753,576.8923,0.1755
624,-18.6408,0.0,-18.6408,0.0648,716.1422,0.4244
625,12.52,0.0,12.52,0.0839,457.535,0.361
626,-1.9172,0.0,-1.9172,0.0011,661.7694,0.9184
627,9.8835,397.058,9.8835,0.038,425.4193,0.5438
628,32.0631,595.5813,32.0631,0.4324,595.5813,0.0201
629,20.4145,387.9096,20.4145,0.2454,387.9096,0.1015
630,-5.0297,0.0,-5.0297,0.0358,264.6972,0.5775
631,4.5297,0.0,4.5297,0.0502,189.0674,0.5338
632,20.1195,198.9279,20.1195,0.3503,397.8559,0.0715
633,8.2717,85.0804,8.2717,0.2966,189.0675,0.1036
634,0.3029,18.907,0.3029,0.0003,217.4301,0.9628
635,3.9004,0.0,3.9004,0.0311,226.8862,0.5833
636,4.3963,9.4537,4.3963,0.1204,113.4444,0.2692
637,-2.2478,0.0,-2.2478,0.0195,198.5297,0.6653
638,-3.9667,0.0,-3.9667,0.011,321.4323,0.7461
639,5.7848,255.2578,5.7848,0.0511,255.2578,0.48
640,10.4788,207.99,10.4788,0.1836,264.7146,0.1646
641,8.9583,0.0,8.9583,0.091,274.1709,0.3406
642,10.0855,129.3034,10.0855,0.0589,477.428,0.4471
643,-6.8431,0.0,-6.8431,0.0355,311.9924,0.5788
644,16.1021,119.3571,16.1021,0.3168,258.6072,0.0567
645,7.8598,258.6073,7.8598,0.0784,258.6073,0.378
646,0.2975,472.7216,0.2975,0.0,472.7216,0.985
647,1.3884,198.5419,1.3884,0.0008,453.8108,0.9303
648,9.7184,397.0662,9.7184,0.0465,425.4281,0.5011
649,4.9788,85.0846,4.9788,0.0095,491.5991,0.775
650,-3.6361,9.4539,-3.6361,0.0033,491.6009,0.8585
651,17.817,387.6113,17.817,0.0995,425.4271,0.3178
652,-0.4173,358.0715,-0.4173,0.0001,477.4285,0.9765
653,21.8404,208.8752,21.8404,0.3062,348.1253,0.062
654,9.0422,606.7329,9.0422,0.0196,616.6793,0.6643
655,30.9735,406.523,30.9735,0.5024,406.523,0.0099
656,-18.163,0.0,-18.163,0.1975,338.1786,0.1708
657,10.8423,217.4416,10.8423,0.2684,293.073,0.0844
658,13.9369,170.1781,13.9369,0.6629,170.1781,0.0023
659,13.6763,79.5715,13.6763,0.3384,268.5537,0.1707
660,-8.2736,0.0,-8.2736,0.025,425.4127,0.6424
661,31.5672,510.4956,31.5672,0.2424,510.4956,0.1039
662,9.9496,18.9075,9.9496,0.0438,444.3258,0.5139
663,-12.3904,85.0821,-12.3904,0.0447,491.5844,0.5324
664,16.0325,149.1963,16.0325,0.647,149.1963,0.0016
665,2.1911,19.8935,2.1911,0.2244,59.6792,0.1197
666,1.1129,9.9465,1.1129,0.6713,9.9465,0.0011
667,2.9689,28.9465,2.9689,0.7253,28.9465,0.0004
668,1.1129,9.9465,1.1129,0.6713,9.9465,0.0011
669,0.2087,0.0,0.2087,0.0014,59.6789,0.9068
670,13.0416,208.8748,13.0416,0.2408,208.8748,0.1053
671,5.4949,119.3569,5.4949,0.0954,179.0355,0.3288
672,17.8144,387.5551,17.8144,0.1459,387.5551,0.2205
673,2.2258,19.8928,2.2258,0.0032,298.392,0.8618
674,0.0992,0.0,0.0992,0.0002,85.0727,0.9634
675,6.3457,56.7145,6.3457,0.6713,56.7145,0.0011
676,0.8924,9.4523,0.8924,0.437,9.4523,0.0193
677,0.0,0.0,0.0,0.0194,0.0,0.6657
678,38.3945,477.427,38.3945,0.3107,805.6582,0.0597
679,6.4119,387.5542,6.4119,0.0155,415.9109,0.6998
680,-3.1946,9.9464,-3.1946,0.0056,447.5873,0.8275
681,15.2036,387.56,15.2036,0.3,387.56,0.0652
682,15.8646,340.2957,15.8646,0.1466,340.2957,0.2192
683,37.4139,397.0113,37.4139,0.1909,879.0951,0.1556
684,8.3119,29.8392,8.3119,0.0309,447.5884,0.5848
685,27.37,417.7491,27.37,0.3247,477.4276,0.0531
686,39.0008,387.5618,39.0008,0.5688,406.4672,0.0046
687,29.3165,378.1073,29.3165,0.3473,434.8233,0.0438
688,7.5467,49.732,7.5467,0.0928,268.5529,0.3356
689,8.3466,19.8928,8.3466,0.0547,467.4809,0.4644
690,3.6026,18.9056,3.6026,0.0078,425.3746,0.7851
691,1.5864,9.4523,1.5864,0.4167,18.9045,0.0234
692,0.0,0.0,0.0,,0.0,
693,10.1061,85.07,10.1061,0.6704,85.07,0.0021
694,-0.2692,0.0,-0.2692,0.0108,29.8392,0.7608
695,14.1808,122.7004,14.1808,0.1476,264.2777,0.273
696,6.9005,56.6314,6.9005,0.8051,56.6314,0.0025
697,45.4634,497.3316,45.4634,0.387,497.3316,0.0548
698,28.5916,254.8378,28.5916,0.6144,254.8378,0.0073
699,46.6852,368.0952,46.6852,0.687,368.0952,0.003
700,25.2762,368.0933,25.2762,0.3283,368.0933,0.0834
701,30.1796,49.7332,30.1796,0.3325,358.0791,0.081
702,2.3775,348.1319,2.3775,0.0021,477.4379,0.9009
703,26.9338,0.0,26.9338,0.2195,368.0952,0.172
704,2.3021,28.3153,2.3021,0.6098,28.3153,0.0077
705,0.5524,0.0,0.5524,0.0009,160.4313,0.933
706,25.4729,29.8396,25.4729,0.1604,437.6483,0.2514
707,2.7161,28.3114,2.7161,0.0182,198.1801,0.7101
708,18.2296,339.7342,18.2296,0.3279,339.7342,0.0836
709,20.8635,139.2517,20.8635,0.2359,377.9689,0.1547
710,-3.0383,0.0,-3.0383,0.0061,311.4237,0.8302
711,0.0,0.0,0.0,0.137,0.0,0.2923
712,10.9655,377.9689,10.9655,0.0477,387.9154,0.5444
713,0.0,0.0,0.0,0.6126,0.0,0.0074
714,27.9134,349.562,27.9134,0.3856,481.8286,0.0743
715,10.4895,119.3548,10.4895,0.7684,119.3548,0.0219
716,1.466,18.8956,1.466,0.0021,283.4339,0.9319
717,7.3658,69.6236,7.3658,0.2379,139.2472,0.2668
718,2.4239,9.9462,2.4239,0.0458,89.5161,0.6838
719,4.5384,56.6856,4.5384,0.116,160.6092,0.3698
720,25.8417,228.7631,25.8417,0.1647,566.9345,0.2786
721,13.4809,547.0418,13.4809,0.0356,656.45,0.6269
722,28.2974,0.0,28.2974,0.2472,566.9342,0.1733
723,1.4561,59.6773,1.4561,0.0051,179.032,0.8667
724,13.4588,132.2656,13.4588,0.7021,132.2656,0.0048
725,17.4104,141.7122,17.4104,0.7044,141.7122,0.0092
726,32.5821,457.5258,32.5821,0.3733,457.5258,0.0805
727,4.1569,37.7897,4.1569,0.6643,37.7897,0.0137
728,0.0,0.0,0.0,0.6839,0.0,0.0113
729,0.0683,85.028,0.0683,0.0,113.3707,0.9886
730,5.5588,149.1931,5.5588,0.008,646.5037,0.8191
731,8.0351,9.9462,8.0351,0.0353,358.0634,0.6285
732,2.4249,0.0,2.4249,0.0185,198.924,0.7269
733,0.0683,56.6857,0.0683,0.0,500.7228,0.9966
734,0.0,0.0,0.0,,0.0,
735,16.4455,18.8953,16.4455,0.1518,340.1154,0.3
736,10.0236,18.8955,10.0236,0.1597,255.0886,0.2866
737,23.1308,321.2249,23.1308,0.1607,444.046,0.4308
738,18.5567,159.1395,18.5567,0.2231,417.7411,0.1992
739,39.2814,368.0098,39.2814,0.6098,387.9021,0.013
740,6.5862,132.2643,6.5862,0.2337,132.2643,0.2249
741,17.2144,19.8922,17.2144,0.1293,616.6587,0.251
742,10.0005,28.3184,10.0005,0.0243,556.9275,0.6283
743,1.1882,18.8789,1.1882,0.0957,47.1973,0.3278
744,5.1817,59.6766,5.1817,0.0094,467.4669,0.7642
745,-8.4165,28.319,-8.4165,0.0888,254.8706,0.3468
746,-12.0675,9.9461,-12.0675,0.134,417.7368,0.2419
747,5.8425,119.3535,5.8425,0.04,328.2221,0.533
748,1.2267,9.9461,1.2267,0.3603,19.8923,0.0875
749,1.0232,18.879,1.0232,0.0993,37.758,0.3184
750,20.133,330.3798,20.133,0.2715,453.0922,0.0824
751,5.4128,0.0,5.4128,0.0576,283.1814,0.4525
752,14.4323,258.5987,14.4323,0.2564,268.5447,0.093
753,-6.9205,0.0001,-6.9205,0.016,537.0898,0.6957
755,-5.17,47.2257,-5.17,0.0287,283.3539,0.6184
756,14.029,0.0,14.029,0.027,666.3764,0.6295
757,30.0621,328.2152,30.0621,0.4358,328.2152,0.0271
758,7.9195,85.0031,7.9195,0.1553,85.0031,0.4395
759,47.8351,616.6468,47.8351,0.7993,616.6468,0.0066
760,9.637,49.7296,9.637,0.663,69.6215,0.0486
761,6.6287,37.7778,6.6287,0.6345,37.7778,0.0579
762,-0.7626,9.4444,-0.7626,0.0198,28.3331,0.7903
763,-0.0,0.0,-0.0,0.0305,0.0001,0.7409
764,-0.8799,0.0,-0.8799,0.0311,28.3334,0.7384
765,0.528,0.0,0.528,0.0012,85.0013,0.9472
766,1.1146,18.8893,1.1146,0.0061,85.0019,0.8827
767,0.9973,28.3342,0.9973,0.0032,85.0027,0.9158
768,33.4969,179.4521,33.4969,0.8215,179.4521,0.0127
769,-12.6081,0.0,-12.6081,0.134,298.377,0.2682
770,11.4121,37.78,11.4121,0.1065,340.0199,0.3273
771,-0.4616,18.8902,-0.4616,0.0002,273.9075,0.9653
772,6.5761,141.6779,6.5761,0.1445,217.2394,0.2488
773,-24.2665,0.0,-24.2665,0.2448,387.256,0.1218
774,-0.6392,9.4454,-0.6392,0.0003,283.3606,0.9572
775,0.344,109.4048,0.344,0.0,586.8075,0.9888
776,15.2479,0.0,15.2479,0.165,298.3765,0.2151
777,-0.8041,0.0003,-0.8041,0.0977,29.8372,0.4128
778,-0.0739,0.0003,-0.0739,0.0004,29.8374,0.9612
779,10.2301,119.3506,10.2301,0.2718,218.8094,0.1
780,-7.2439,0.0,-7.2439,0.0175,453.3838,0.698
781,6.3278,0.0,6.3278,0.0615,226.6912,0.4621
782,15.5529,0.0,15.5529,0.1295,358.9241,0.277
783,8.0534,368.3662,8.0534,0.0346,396.7021,0.5841
784,-4.786,9.9459,-4.786,0.0109,367.9986,0.7598
785,11.3484,28.3356,11.3484,0.0719,481.7051,0.4252
786,4.2609,0.0,4.2609,0.0108,311.6881,0.761
787,2.6846,0.0,2.6846,0.0037,427.6743,0.8589
788,-4.6373,0.0,-4.6373,0.019,330.5735,0.6863
789,18.6551,18.8898,18.6551,0.2045,236.1222,0.368
790,66.7798,328.2157,66.7798,0.7205,387.8912,0.1512
791,33.1206,507.2417,33.1206,0.2339,527.1336,0.1318
792,21.4963,255.0159,21.4963,0.4132,255.0159,0.0329
793,-0.6506,0.0,-0.6506,0.0002,497.2953,0.9653
794,8.3301,170.011,8.3301,0.199,170.011,0.169
795,-1.2286,0.0,-1.2286,0.0071,132.2291,0.8048
796,16.3085,122.7833,16.3085,0.4181,122.7833,0.1652
797,-14.6432,0.0,-14.6432,0.1405,377.7963,0.2561
798,7.3643,18.8901,7.3643,0.0533,292.7957,0.4945
799,-2.6276,28.3353,-2.6276,0.004,340.0233,0.8533
800,0.0,0.0,0.0,,0.0,
801,19.3522,415.5923,19.3522,0.3007,415.5923,0.0807
802,5.2837,113.3439,5.2837,0.0298,340.0318,0.6116
803,21.5114,283.362,21.5114,0.3212,283.362,0.0691
804,10.3259,349.4762,10.3259,0.0662,368.3668,0.4449
805,36.1641,298.3765,36.1641,0.7351,298.3765,0.0007
806,10.4752,406.1548,10.4752,0.0622,406.1548,0.4594
807,7.8324,79.5669,7.8324,0.8155,79.5669,0.0136
808,1.4919,19.8917,1.4919,0.0193,119.3503,0.793
809,1.1189,9.9458,1.1189,0.7594,9.9458,0.0237
810,-18.259,28.3365,-18.259,0.0716,538.3944,0.4263
811,8.5783,89.5127,8.5783,0.8817,89.5127,0.0055
812,6.3028,368.3736,6.3028,0.0182,368.3736,0.7293
813,2.5975,18.8909,2.5975,0.5585,28.3364,0.0877
814,18.7728,169.0793,18.7728,0.8253,169.0794,0.0122
815,0.0575,0.0,0.0575,0.0,99.4584,0.9942
816,15.4161,198.9168,15.4161,0.5297,198.9168,0.101
817,5.6672,56.6725,5.6672,0.2683,113.345,0.2925
818,-13.1148,113.345,-13.1148,0.0309,651.7346,0.6512
819,8.5783,89.5127,8.5783,0.4601,129.2961,0.1386
