TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value
156,5.8168,0.0,5.8168,0.2677,123.8375,0.1031
157,51.6474,427.7029,51.6474,0.7197,427.703,0.001
158,20.2148,368.0242,20.2148,0.1472,368.0242,0.2441
159,24.2342,312.0358,24.2342,0.4189,425.5035,0.0229
160,0.1984,0.0,0.1984,0.0019,56.7345,0.8928
161,2.4466,0.0,2.4466,0.1604,75.6465,0.1969
162,0.6613,0.0,0.6613,0.2622,9.4559,0.0887
163,-0.0,0.0,-0.0,0.0776,0.0001,0.3806
164,6.282,0.0,6.282,0.0477,359.3324,0.4954
165,-0.6282,0.0,-0.6282,0.002,179.668,0.8905
166,0.529,18.9127,0.529,0.042,37.8253,0.5231
167,2.6779,39.7864,2.6779,0.4523,39.7864,0.0166
168,-0.2782,0.0,-0.2782,0.008,29.8399,0.7823
169,14.9452,198.5863,14.9452,0.3099,302.6077,0.0601
170,13.5636,89.5197,13.5636,0.2104,427.7051,0.1337
171,-0.4629,9.4567,-0.4629,0.0005,198.59,0.9468
172,4.53,94.5678,4.53,0.3864,94.5678,0.0309
173,9.5989,338.1856,9.5989,0.047,338.1856,0.4985
174,-6.2949,69.6264,-6.2949,0.0339,387.9188,0.5669
175,6.2601,497.3319,6.2601,0.0123,576.905,0.7318
176,12.4855,278.5059,12.4855,0.2029,278.5059,0.1416
177,-7.5718,0.0,-7.5718,0.05,416.0879,0.4849
178,9.9814,228.7727,9.9814,0.0231,686.318,0.6372
179,20.1715,0.0,20.1715,0.1482,517.2248,0.2165
180,8.1382,208.8794,8.1382,0.0768,298.3991,0.383
181,-8.1668,18.9126,-8.1668,0.0768,312.0577,0.3832
182,36.1719,595.7458,36.1719,0.369,605.2021,0.0362
183,14.4819,9.4562,14.4819,0.1109,453.8993,0.2901
184,40.5865,845.4659,40.5865,0.2157,845.4659,0.1282
185,38.952,507.2801,38.952,0.3215,507.2801,0.0546
186,-32.634,66.194,-32.634,0.2074,652.482,0.1368
187,17.4556,179.6711,17.4556,0.6035,236.4091,0.0233
188,4.556,169.0935,4.556,0.073,238.7203,0.3957
189,3.9346,236.4065,3.9346,0.008,482.2703,0.782
190,26.2196,539.0063,26.2196,0.3578,539.0063,0.0399
191,23.5085,330.9701,23.5085,0.5285,330.9701,0.0074
192,-6.2932,66.1948,-6.2932,0.0291,397.1685,0.6865
193,54.8992,737.6004,54.8992,0.4936,737.6004,0.1196
194,2.1822,397.1661,2.1822,0.0017,699.7682,0.8984
195,11.4401,18.9127,11.4401,0.0285,671.4007,0.6199
196,2.0974,199.616,2.0974,0.0025,389.2515,0.8913
197,-2.0867,109.4137,-2.0867,0.002,656.4826,0.8914
198,17.249,368.7982,17.249,0.2237,368.7982,0.1418
199,21.5907,208.0375,21.5907,0.5232,283.6871,0.0078
200,7.6165,397.8684,7.6165,0.0356,407.8151,0.5569
201,10.6597,340.4224,10.6597,0.0619,340.4224,0.4608
202,24.2026,406.6171,24.2026,0.2247,539.0039,0.1195
203,-11.5061,208.0366,-11.5061,0.0415,539.0035,0.5255
204,-4.2778,9.9468,-4.2778,0.0678,139.2544,0.4138
205,8.2426,149.2011,8.2426,0.118,238.7219,0.2743
206,28.6432,453.9061,28.6432,0.5696,453.9061,0.0116
207,20.7802,482.2793,20.7802,0.2811,482.2793,0.1149
208,7.5378,226.9553,7.5378,0.0829,226.9553,0.4199
209,12.0775,340.4318,12.0775,0.1169,340.4318,0.3336
210,24.686,416.0814,24.686,0.4406,416.0814,0.0364
211,1.9128,59.6805,1.9128,0.0022,417.764,0.8846
212,-12.8905,28.3689,-12.8905,0.0344,822.7001,0.5853
213,6.1211,109.4145,6.1211,0.2496,149.2015,0.0982
214,14.6419,407.818,14.6419,0.08,407.818,0.3731
215,7.6048,18.9128,7.6048,0.0184,614.6634,0.6739
216,14.7151,491.7327,14.7151,0.0999,491.7327,0.3437
217,-9.9468,9.9468,-9.9468,0.0701,477.447,0.4056
218,2.6285,37.8257,2.6285,0.6181,37.8257,0.036
219,-1.6346,59.6809,-1.6346,0.0052,298.4046,0.8244
220,11.3884,9.9468,11.3884,0.1917,248.6707,0.2057
221,-3.5709,9.4563,-3.5709,0.0077,482.2688,0.7867
222,8.8279,28.3685,8.8279,0.0237,463.3514,0.6331
223,7.5053,94.5604,7.5053,0.4354,141.8406,0.0196
224,-7.4722,66.1919,-7.4722,0.0332,491.7104,0.5709
225,61.8614,636.5981,61.8614,0.8461,636.5981,0.0002
226,17.8207,368.7805,17.8207,0.3201,368.7805,0.0552
227,18.0521,198.5727,18.0521,0.1869,397.1461,0.1842
228,18.1845,377.9801,18.1845,0.161,417.7673,0.2505
229,32.0982,368.0334,32.0982,0.424,387.927,0.1132
230,34.748,605.1641,34.748,0.4255,605.1641,0.0215
231,35.9525,453.8694,35.9525,0.5841,453.8694,0.0062
232,14.843,463.3223,14.843,0.0477,709.1663,0.5723
233,10.279,152.6551,10.279,0.0292,515.2117,0.637
234,-9.724,9.4554,-9.724,0.058,453.8588,0.5027
235,34.8843,538.9598,34.8843,0.2567,548.4152,0.1118
236,12.7986,397.8745,12.7986,0.1228,397.8745,0.3551
237,15.137,39.7875,15.137,0.1393,437.6623,0.3224
238,23.692,236.3893,23.692,0.4341,416.0444,0.0275
239,62.1288,624.0626,62.1288,0.5875,624.0626,0.0097
240,-3.104,19.8938,-3.104,0.0014,736.0691,0.9124
241,-42.5085,9.9469,-42.5085,0.224,825.5917,0.167
242,15.5193,274.2084,15.5193,0.2595,274.2084,0.1326
243,10.2377,188.991,10.2377,0.0527,477.4511,0.5525
244,39.2602,869.8332,39.2602,0.2615,869.8332,0.1952
245,11.4984,245.8239,11.4984,0.0963,491.6481,0.4543
246,13.2467,544.4646,13.2467,0.035,792.8189,0.6572
247,4.6176,109.4161,4.6176,0.0325,308.3549,0.7326
248,13.851,258.6199,13.851,0.3804,258.6199,0.1033
249,9.8525,217.4547,9.8525,0.1617,217.4547,0.3234
250,-1.8332,139.2567,-1.8332,0.0069,268.5664,0.8451
251,0.3621,149.2035,0.3621,0.0002,268.5661,0.9738
252,-4.9112,89.5222,-4.9112,0.0528,298.4071,0.5842
253,23.9903,417.77,23.9903,0.3555,417.77,0.1188
254,-1.3127,9.9469,-1.3127,0.0004,726.1243,0.9619
255,14.3488,487.3978,14.3488,0.0763,596.8137,0.472
256,17.5513,293.1144,17.5513,0.1749,482.2207,0.2005
257,0.9827,19.8938,0.9827,0.0003,636.6011,0.9626
258,-5.0781,29.8407,-5.0781,0.0093,447.6102,0.7783
259,12.7092,339.9996,12.7092,0.0967,365.7713,0.4533
260,32.1266,338.1947,32.1266,0.7642,338.1947,0.0045
261,24.9866,491.6428,24.9866,0.2924,491.6428,0.1665
262,10.2678,139.2565,10.2678,0.2949,218.8316,0.1308
263,8.9171,188.991,8.9171,0.0323,487.3978,0.6701
264,23.7241,547.0782,23.7241,0.1838,547.0782,0.2496
265,26.1374,274.1846,26.1374,0.3488,538.9141,0.1232
266,21.4772,368.0345,21.4772,0.2622,417.7687,0.1073
267,8.8382,245.8243,8.8382,0.0718,397.1006,0.4255
268,18.7306,427.7163,18.7306,0.1859,477.4507,0.2466
269,28.1317,477.4505,28.1317,0.3691,487.3974,0.0474
270,12.0874,141.8269,12.0874,0.1546,387.6604,0.2316
271,13.5113,139.2564,13.5113,0.092,626.6538,0.3646
272,49.295,746.0161,49.295,0.32,746.0161,0.0697
273,20.9667,547.0788,20.9667,0.1229,547.0788,0.3549
274,33.9492,318.3004,33.9492,0.1927,805.6976,0.1768
275,23.1675,397.875,23.1675,0.1372,636.6,0.3264
276,23.7642,104.0084,23.7642,0.1515,709.147,0.2367
277,30.1289,321.4724,30.1289,0.3429,529.4843,0.0584
278,8.3147,226.9228,8.3147,0.0462,453.8447,0.5254
279,16.5061,99.4688,16.5061,0.1095,487.3972,0.3503
280,23.0877,278.5125,23.0877,0.1725,467.503,0.2664
281,21.6923,487.3965,21.6923,0.1374,487.3965,0.2917
282,19.004,457.5552,19.004,0.274,457.5552,0.1481
283,15.2501,170.1914,15.2501,0.7572,170.1914,0.1298
284,12.0339,37.8191,12.0339,0.0175,841.4738,0.6984
285,20.5448,217.4825,20.5448,0.1492,482.2448,0.2406
286,8.2601,139.2559,8.2601,0.3922,139.2559,0.1834
287,0.3697,89.5219,0.3697,0.0001,387.9275,0.9751
288,6.5136,56.7375,6.5136,0.0842,264.7748,0.3604
289,32.8138,888.77,32.8138,0.1555,888.77,0.2595
290,-5.8105,149.2028,-5.8105,0.0163,477.4488,0.7081
291,9.4263,189.1059,9.4263,0.0488,397.1218,0.721
292,3.6368,255.3051,3.6368,0.0102,510.6098,0.7547
293,34.6451,397.1196,34.6451,0.6222,397.1196,0.0622
294,15.4073,226.9445,15.4073,0.1333,472.8007,0.2433
295,12.8335,129.3086,12.8335,0.1034,447.6064,0.3082
296,-18.4677,19.8936,-18.4677,0.1353,497.3401,0.2394
297,22.7806,529.5417,22.7806,0.1379,538.9978,0.2347
