TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value,Longitude,Latitude
446,13.1595,170.2135,13.1595,0.0975,482.2725,0.323,84.74392,19.088922
447,30.5237,437.6556,30.5237,0.3313,437.6556,0.0639,84.744978,19.130073
448,9.9039,103.8586,9.9039,0.1898,188.8337,0.1569,84.742572,19.344723
449,19.0816,254.9273,19.0816,0.2676,283.2526,0.085,84.74365,19.343488
450,12.0829,0.0,12.0829,0.0728,321.0227,0.3963,84.742842,19.341998
451,0.3826,149.2036,0.3826,0.0001,358.0897,0.979,84.740855,19.341626
452,-4.9232,0.0,-4.9232,0.0223,346.4654,0.6434,84.739608,19.3427
453,20.6002,245.4857,20.6002,0.4079,273.8109,0.0254,84.741225,19.343423
454,28.867,397.8783,28.867,0.4374,397.8784,0.0192,84.74036,19.34486
455,10.2339,37.7663,10.2339,0.0976,311.5725,0.3229,84.739608,19.346404
456,13.4249,19.8939,13.4249,0.1883,387.9313,0.1587,84.741058,19.346747
457,1.0781,29.8399,1.0781,0.0032,179.0396,0.861,84.749837,19.087493
458,22.6763,59.6799,22.6763,0.2826,377.9728,0.3566,84.748879,19.086146
459,-2.2425,0.0,-2.2425,0.0048,318.2929,0.9305,84.748003,19.085876
460,8.4314,37.8258,8.4314,0.0443,434.9968,0.5113,84.747693,19.085787
461,-2.6779,99.4665,-2.6779,0.0025,507.2794,0.8771,84.748557,19.087223
462,-6.121,69.6266,-6.121,0.0147,477.4392,0.7075,84.749259,19.088301
463,16.1024,537.1189,16.1024,0.0954,537.1189,0.3286,84.749961,19.088301
464,9.0523,0.0,9.0523,0.1097,342.6572,0.2929,84.749857,19.092883
465,0.0,0.0,0.0,,0.0,,84.751466,19.092762
466,0.0,0.0,0.0,,0.0,,84.752537,19.092613
467,0.0,0.0,0.0,,0.0,,84.752274,19.094109
468,-4.8412,0.0,-4.8412,0.1082,170.1872,0.3232,84.752544,19.113667
469,-0.5619,255.2545,-0.5619,0.0003,283.6161,0.9583,84.753622,19.130693
470,6.9747,85.0843,6.9747,0.1282,236.3455,0.253,84.753891,19.131508
471,0.0,0.0,0.0,0.7343,0.0,0.0004,84.75443,19.133254
472,4.4293,66.1755,4.4293,0.1777,85.0828,0.1723,84.755778,19.134231
473,2.991,159.1464,2.991,0.004,417.7591,0.8449,84.757424,19.134924
474,7.255,56.7212,7.255,0.2345,56.7212,0.4085,84.757934,19.136185
475,-0.1043,9.9466,-0.1043,0.0001,149.1997,0.9773,84.757467,19.137349
476,8.0338,179.0395,8.0338,0.1124,208.8794,0.2868,84.758992,19.136541
477,4.3821,19.8933,4.3821,0.0852,129.3063,0.3572,84.758872,19.135733
478,25.1101,427.7056,25.1101,0.2886,447.5988,0.0717,84.760681,19.135194
479,47.6314,0.0,47.6314,0.2067,831.9127,0.1376,84.762784,19.135452
480,-8.0338,328.2378,-8.0338,0.0294,328.2378,0.5943,84.764581,19.136002
481,1.6196,0.0,1.6196,0.0027,302.5089,0.8726,84.76521,19.137662
482,17.4935,109.4124,17.4935,0.2991,268.558,0.0658,84.766781,19.138427
483,3.13,179.0385,3.13,0.015,179.0385,0.7047,84.768306,19.137619
484,8.7924,0.0,8.7924,0.1173,283.6039,0.2758,84.769522,19.136517
485,0.0,0.0,0.0,0.1313,0.0,0.247,84.768255,19.136002
486,6.644,28.3608,6.644,0.0946,283.6077,0.3307,84.767905,19.134589
487,-0.595,0.0,-0.595,0.0019,170.1667,0.8928,84.767635,19.132588
488,-3.7561,0.0,-3.7561,0.0111,447.5964,0.7449,84.766771,19.131151
489,16.311,288.4513,16.311,0.265,298.3978,0.0868,84.765246,19.130343
490,16.9244,18.9078,16.9244,0.1685,311.9782,0.185,84.763593,19.129656
491,2.0825,0.0,2.0825,0.0087,170.1714,0.7726,84.762515,19.128423
492,0.5912,9.9466,0.5912,0.0391,29.8399,0.5378,84.761522,19.128187
493,0.3478,119.3595,0.3478,0.0002,368.0251,0.9684,84.759997,19.128995
494,1.0247,28.3622,1.0247,0.0007,368.708,0.9339,84.760089,19.127162
495,1.7389,19.8933,1.7389,0.0016,328.2389,0.9004,84.758621,19.126839
496,27.8575,417.7589,27.8575,0.2375,417.7589,0.1081,84.75738,19.125761
497,15.0939,49.7332,15.0939,0.1332,507.2787,0.2435,84.756422,19.124414
498,-0.4297,0.0,-0.4297,0.0019,122.904,0.8928,84.755778,19.125547
499,10.4457,56.7243,10.4457,0.129,321.438,0.2515,84.756586,19.127036
500,32.2396,169.0929,32.2396,0.2201,775.8382,0.1239,84.756645,19.128726
